Channel 1,Channel 2,Channel 3
0.000028,4.746000,1.178000
0.000124,4.765000,1.515000
0.000216,4.692000,1.369000
0.000312,4.829000,2.023000
0.000408,4.653000,2.048000
0.000500,4.785000,1.970000
0.000596,4.863000,1.975000
0.000692,4.888000,2.151000
0.000792,4.907000,2.424000
0.000884,4.883000,2.571000
0.000980,4.907000,2.727000
0.001072,4.927000,2.874000
0.001164,4.927000,3.030000
0.001260,4.927000,3.123000
0.001352,4.956000,3.280000
0.001444,4.956000,3.402000
0.001536,4.966000,3.514000
0.001632,4.966000,3.627000
0.001724,4.966000,3.715000
0.001816,4.966000,3.812000
0.001908,4.966000,3.891000
0.002004,4.966000,3.969000
0.002096,4.971000,4.032000
0.002188,4.966000,4.101000
0.002280,4.971000,4.164000
0.002372,4.980000,4.223000
0.002464,4.985000,4.282000
0.002556,4.980000,4.340000
0.002648,4.985000,4.379000
0.002740,4.985000,4.418000
0.002840,4.985000,4.462000
0.002932,4.985000,4.497000
0.003024,4.985000,4.531000
0.003116,4.985000,4.565000
0.003208,4.985000,4.594000
0.003300,4.985000,4.614000
0.003392,4.985000,4.653000
0.003484,4.985000,4.673000
0.003576,4.985000,4.692000
0.003668,4.985000,4.721000
0.003760,4.985000,4.736000
0.003856,4.990000,4.761000
0.003948,4.990000,4.765000
0.004040,4.995000,4.785000
0.004132,4.995000,4.809000
0.004224,4.995000,4.809000
0.004312,4.995000,4.829000
0.004404,4.995000,4.839000
0.004496,4.995000,4.848000
0.004588,4.995000,4.853000
0.004680,4.995000,4.868000
0.004772,4.995000,4.883000
0.004864,4.995000,4.883000
0.004960,4.995000,4.892000
0.005052,4.995000,4.902000
0.005144,4.995000,4.907000
0.005232,4.995000,4.907000
0.005324,4.995000,4.917000
0.005416,4.995000,4.927000
0.005508,4.995000,4.927000
0.005600,4.995000,4.932000
0.005692,4.995000,4.941000
0.005784,4.995000,4.941000
0.005876,4.995000,4.946000
0.005972,4.995000,4.956000
0.006064,4.995000,4.956000
0.006156,5.000000,4.956000
0.006244,5.000000,4.966000
0.006336,5.000000,4.966000
0.006428,4.995000,4.966000
0.006520,4.995000,4.966000
0.006612,5.000000,4.966000
0.006704,4.995000,4.966000
0.006796,4.995000,4.971000
0.006888,4.995000,4.971000
0.006984,4.995000,4.980000
0.007076,4.995000,4.971000
0.007164,4.995000,4.980000
0.007256,4.995000,4.980000
0.007348,4.995000,4.980000
0.007444,1.070000,4.707000
0.007536,1.554000,4.438000
0.007628,0.904000,4.081000
0.007720,1.369000,3.847000
0.007812,0.684000,3.558000
0.007904,1.056000,3.348000
0.008000,0.660000,2.986000
0.008092,0.137000,2.908000
0.008184,0.117000,2.693000
0.008276,0.235000,2.517000
0.008368,0.073000,2.346000
0.008460,0.034000,2.170000
0.008548,0.034000,2.028000
0.008640,0.034000,1.877000
0.008732,0.029000,1.755000
0.008824,0.034000,1.632000
0.008912,0.020000,1.515000
0.009012,0.029000,1.403000
0.009100,0.015000,1.310000
0.009192,0.015000,1.212000
0.009284,0.015000,1.129000
0.009376,0.015000,1.056000
0.009464,0.005000,0.973000
0.009556,0.005000,0.899000
0.009648,0.005000,0.841000
0.009740,0.005000,0.777000
0.009828,0.005000,0.723000
0.009920,0.005000,0.670000
0.010016,0.005000,0.621000
0.010108,0.000000,0.587000
0.010200,0.000000,0.543000
0.010292,0.000000,0.503000
0.010380,0.000000,0.469000
0.010472,0.000000,0.430000
0.010564,0.000000,0.406000
0.010656,0.000000,0.371000
0.010744,0.000000,0.347000
0.010836,0.000000,0.318000
0.010928,0.000000,0.303000
0.011024,0.000000,0.274000
0.011112,0.000000,0.254000
0.011204,0.000000,0.235000
0.011296,0.000000,0.225000
0.011388,0.000000,0.200000
0.011476,0.000000,0.191000
0.011568,0.000000,0.176000
0.011660,0.000000,0.161000
0.011752,0.000000,0.152000
0.011840,0.000000,0.147000
0.011932,0.000000,0.137000
0.012024,0.000000,0.117000
0.012120,0.000000,0.117000
0.012212,0.000000,0.108000
0.012304,0.000000,0.093000
0.012392,0.000000,0.093000
0.012484,0.000000,0.078000
0.012576,0.000000,0.073000
0.012668,0.000000,0.073000
0.012756,0.000000,0.068000
0.012848,0.000000,0.059000
0.012940,0.000000,0.059000
0.013032,0.000000,0.054000
0.013128,0.000000,0.044000
0.013220,0.000000,0.034000
0.013308,0.000000,0.034000
0.013400,0.000000,0.034000
0.013492,0.000000,0.034000
0.013584,0.000000,0.034000
0.013672,0.000000,0.029000
0.013764,0.000000,0.029000
0.013856,0.000000,0.020000
0.013948,0.000000,0.015000
0.014036,0.000000,0.015000
0.014136,0.000000,0.015000
0.014224,0.000000,0.015000
0.014316,0.000000,0.015000
0.014408,0.000000,0.015000
0.014500,0.000000,0.015000
0.014588,0.000000,0.015000
0.014680,0.000000,0.005000
0.000028,4.736000,1.178000
0.000124,4.765000,1.515000
0.000220,4.692000,1.373000
0.000312,4.829000,2.023000
0.000408,4.653000,2.048000
0.000504,4.785000,1.975000
0.000600,4.863000,1.975000
0.000700,4.814000,2.307000
0.000792,4.853000,2.424000
0.000888,4.883000,2.571000
0.000980,4.907000,2.727000
0.001076,4.927000,2.874000
0.001168,4.927000,3.030000
0.001260,4.927000,3.123000
0.001352,4.956000,3.280000
0.001448,4.956000,3.402000
0.001540,4.966000,3.514000
0.001632,4.966000,3.627000
0.001732,4.966000,3.715000
0.001824,4.966000,3.812000
0.001920,4.966000,3.900000
0.002012,4.966000,3.969000
0.002104,4.966000,4.047000
0.002196,4.980000,4.106000
