Channel 1,Channel 2,Channel 3
0.000028,4.340000,1.153000
0.000472,4.550000,1.373000
0.000924,4.809000,1.403000
0.001364,4.423000,2.224000
0.001812,4.531000,2.405000
0.002252,4.883000,2.028000
0.002692,4.956000,2.439000
0.003136,4.809000,2.263000
0.003580,4.971000,2.537000
0.004024,4.941000,2.727000
0.004464,4.966000,2.849000
0.004908,4.966000,3.045000
0.005348,4.971000,3.172000
0.005788,4.985000,3.319000
0.006232,4.985000,3.456000
0.006672,4.985000,3.578000
0.007116,4.985000,3.680000
0.007556,4.985000,3.788000
0.008000,4.990000,3.891000
0.008440,4.985000,3.969000
0.008876,4.985000,4.062000
0.009320,4.985000,4.125000
0.009760,4.985000,4.203000
0.010204,4.985000,4.262000
0.010640,4.995000,4.316000
0.011088,4.995000,4.379000
0.011524,4.995000,4.418000
0.011964,4.990000,4.472000
0.012408,4.995000,4.516000
0.012844,4.995000,4.550000
0.013288,4.995000,4.580000
0.013728,4.990000,4.614000
0.014172,4.995000,4.653000
0.014608,4.995000,4.673000
0.015056,4.995000,4.707000
0.015492,4.995000,4.726000
0.015932,4.995000,4.751000
0.016376,4.995000,4.765000
0.016812,4.995000,4.785000
0.017256,4.995000,4.809000
0.017692,4.995000,4.814000
0.018136,4.995000,4.829000
0.018572,4.995000,4.848000
0.019012,4.995000,4.848000
0.019452,4.995000,4.868000
0.019892,4.995000,4.878000
0.020332,4.995000,4.883000
0.020772,4.995000,4.892000
0.021212,4.995000,4.902000
0.021652,4.995000,4.917000
0.022088,4.995000,4.907000
0.022532,4.995000,4.927000
0.022968,4.995000,4.927000
0.023412,4.995000,4.927000
0.023848,4.995000,4.932000
0.024292,4.995000,4.932000
0.024728,5.000000,4.941000
0.025168,4.995000,4.941000
0.025608,4.995000,4.956000
0.026048,5.000000,4.956000
0.026488,4.995000,4.966000
0.026928,4.995000,4.966000
0.027368,4.995000,4.966000
0.027808,5.000000,4.966000
0.028244,4.995000,4.966000
0.028688,4.995000,4.971000
0.029124,4.995000,4.971000
0.029568,4.995000,4.971000
0.030004,4.995000,4.985000
0.030448,4.995000,4.971000
0.030884,4.995000,4.985000
0.031324,4.995000,4.980000
0.031764,4.995000,4.985000
0.032204,4.995000,4.985000
0.032644,4.995000,4.985000
0.033084,4.995000,4.985000
0.033524,4.995000,4.985000
0.033960,4.995000,4.985000
0.034396,4.995000,4.985000
0.034840,4.995000,4.985000
0.035280,0.899000,4.751000
0.035724,0.547000,4.003000
0.036160,0.469000,3.715000
0.036604,0.787000,3.666000
0.037040,1.095000,3.475000
0.037476,0.230000,3.221000
0.037920,0.347000,2.933000
0.038356,0.029000,2.727000
0.038800,0.034000,2.537000
0.039236,0.073000,2.322000
0.039680,0.015000,2.151000
0.040116,0.034000,1.994000
0.040552,0.005000,1.838000
0.040996,0.005000,1.681000
0.041432,0.000000,1.544000
0.041876,0.000000,1.422000
0.042312,0.000000,1.310000
0.042756,0.000000,1.212000
0.043192,0.000000,1.109000
0.043628,0.000000,1.012000
0.044072,0.000000,0.938000
0.044508,0.000000,0.860000
0.044952,0.000000,0.797000
0.045388,0.000000,0.733000
0.045832,0.000000,0.660000
0.046268,0.000000,0.621000
0.046704,0.000000,0.562000
0.047148,0.000000,0.528000
0.047584,0.000000,0.474000
0.048028,0.000000,0.435000
0.048464,0.000000,0.406000
0.048908,0.000000,0.371000
0.049344,0.000000,0.347000
0.049780,0.000000,0.308000
0.050224,0.000000,0.293000
0.050660,0.000000,0.274000
0.051104,0.000000,0.249000
0.051540,0.000000,0.230000
0.051984,0.000000,0.200000
0.052420,0.000000,0.191000
0.052856,0.000000,0.171000
0.053300,0.000000,0.152000
0.053736,0.000000,0.152000
0.054180,0.000000,0.137000
0.054616,0.000000,0.117000
0.055060,0.000000,0.117000
0.055496,0.000000,0.108000
0.055932,0.000000,0.093000
0.056376,0.000000,0.083000
0.056812,0.000000,0.073000
0.057256,0.000000,0.073000
0.057692,0.000000,0.068000
0.058136,0.000000,0.059000
0.058572,0.000000,0.059000
0.059008,0.000000,0.044000
0.059452,0.000000,0.044000
0.059888,0.000000,0.034000
0.060332,0.000000,0.034000
0.060768,0.000000,0.034000
0.061212,0.000000,0.034000
0.061648,0.000000,0.029000
0.062084,0.000000,0.029000
0.062528,0.000000,0.015000
0.062964,0.000000,0.015000
0.063408,0.000000,0.015000
0.063844,0.000000,0.015000
0.064288,0.000000,0.015000
0.064724,0.000000,0.015000
0.065160,0.000000,0.005000
0.065604,0.000000,0.005000
0.066044,0.000000,0.005000
0.066488,0.000000,0.005000
0.066924,0.000000,0.000000
0.067372,0.000000,0.005000
0.067808,0.000000,0.000000
0.068248,0.000000,0.000000
0.068692,0.000000,0.000000
0.069128,0.000000,0.000000
0.069576,0.000000,0.000000
0.070012,0.000000,0.000000
0.000028,4.619000,0.875000
0.000480,4.883000,1.525000
0.000924,4.726000,1.554000
0.001372,4.570000,2.092000
0.001812,4.673000,2.258000
0.002260,4.941000,2.307000
0.002700,4.790000,2.439000
0.003140,4.809000,2.263000
0.003584,4.912000,2.576000
0.004024,4.917000,2.654000
0.004472,4.956000,2.889000
0.004912,4.985000,3.030000
0.005356,4.985000,3.162000
0.005796,4.985000,3.319000
0.006236,4.985000,3.456000
0.006680,4.985000,3.578000
0.007120,4.985000,3.690000
0.007564,4.985000,3.788000
0.008004,4.985000,3.891000
0.008448,4.985000,3.978000
0.008888,4.985000,4.062000
0.009328,4.990000,4.125000
0.009772,4.985000,4.203000
0.010208,4.985000,4.257000
0.010652,4.995000,4.316000
0.011092,4.990000,4.379000
0.011536,4.995000,4.413000
0.011976,4.985000,4.472000
0.012412,4.985000,4.511000
0.012856,4.995000,4.550000
0.013296,4.990000,4.580000
0.013740,4.990000,4.614000
0.014180,4.995000,4.653000
0.014624,4.995000,4.673000
0.015060,4.995000,4.692000
0.015500,4.995000,4.721000
0.015944,4.995000,4.736000
0.016380,4.995000,4.765000
