Channel 1,Channel 2,Channel 3
0.000028,4.736000,0.733000
0.000520,4.848000,1.662000
0.001020,4.497000,1.838000
0.001512,4.888000,2.224000
0.002008,4.541000,2.405000
0.002500,4.883000,2.028000
0.002996,4.892000,2.214000
0.003484,4.966000,2.297000
0.003980,4.966000,2.507000
0.004472,4.971000,2.742000
0.004968,4.985000,2.908000
0.005456,4.971000,3.055000
0.005952,4.966000,3.201000
0.006440,4.985000,3.363000
0.006932,4.985000,3.480000
0.007420,4.985000,3.602000
0.007908,4.985000,3.715000
0.008404,4.985000,3.812000
0.008892,4.990000,3.905000
0.009384,4.985000,3.993000
0.009872,4.990000,4.081000
0.010368,4.990000,4.150000
0.010856,4.990000,4.223000
0.011352,4.995000,4.282000
0.011840,4.995000,4.340000
0.012332,4.995000,4.394000
0.012820,4.995000,4.438000
0.013316,4.995000,4.497000
0.013804,4.995000,4.526000
0.014300,4.995000,4.565000
0.014788,4.995000,4.594000
0.015280,4.995000,4.629000
0.015768,4.995000,4.653000
0.016264,4.995000,4.692000
0.016752,4.995000,4.707000
0.017244,4.995000,4.731000
0.017732,4.995000,4.751000
0.018224,4.995000,4.770000
0.018712,4.995000,4.785000
0.019200,4.995000,4.809000
0.019692,4.995000,4.829000
0.020180,4.995000,4.839000
0.020672,4.995000,4.853000
0.021160,4.995000,4.863000
0.021652,4.995000,4.883000
0.022140,4.995000,4.883000
0.022632,4.995000,4.892000
0.023120,4.995000,4.907000
0.023612,4.995000,4.912000
0.024100,4.995000,4.917000
0.024592,4.995000,4.927000
0.025080,4.995000,4.927000
0.025572,4.995000,4.932000
0.026060,4.995000,4.941000
0.026552,4.995000,4.941000
0.027040,4.995000,4.956000
0.027532,4.995000,4.946000
0.028020,4.995000,4.966000
0.028512,4.995000,4.956000
0.029000,4.995000,4.966000
0.029492,4.995000,4.966000
0.029980,4.995000,4.966000
0.030464,4.995000,4.966000
0.030960,4.995000,4.971000
0.031448,5.000000,4.966000
0.031940,4.995000,4.971000
0.032428,4.995000,4.966000
0.032920,4.995000,4.980000
0.033404,4.995000,4.971000
0.033900,5.000000,4.971000
0.034384,4.995000,4.971000
0.034876,4.995000,4.971000
0.035364,5.000000,4.985000
0.035856,5.000000,4.980000
0.036344,4.995000,4.985000
0.036836,4.995000,4.985000
0.037320,5.000000,4.985000
0.037812,5.000000,4.985000
0.038300,5.000000,4.985000
0.038792,5.000000,4.985000
0.039284,1.442000,4.824000
0.039776,1.100000,4.140000
0.040264,0.327000,3.827000
0.040756,0.645000,3.715000
0.041240,0.938000,3.201000
0.041728,0.137000,3.050000
0.042220,0.225000,2.933000
0.042708,0.381000,2.737000
0.043200,0.078000,2.493000
0.043688,0.005000,2.307000
0.044180,0.015000,2.126000
0.044668,0.029000,1.950000
0.045160,0.005000,1.799000
0.045648,0.015000,1.647000
0.046140,0.000000,1.525000
0.046628,0.000000,1.398000
0.047120,0.000000,1.285000
0.047608,0.000000,1.173000
0.048100,0.000000,1.085000
0.048588,0.000000,0.997000
0.049080,0.000000,0.914000
0.049568,0.000000,0.841000
0.050060,0.000000,0.772000
0.050544,0.000000,0.699000
0.051040,0.000000,0.640000
0.051524,0.000000,0.591000
0.052020,0.000000,0.547000
