time,V(vout)
0.000000000000000e+000,1.366359e-001
7.868966949819978e-006,1.389888e-001
1.836092288276525e-005,1.424426e-001
3.836092288267423e-005,1.495463e-001
5.836092288258321e-005,1.570128e-001
7.836092288249219e-005,1.645762e-001
9.836092288240117e-005,1.719210e-001
1.183609228823102e-004,1.787924e-001
1.383609228822191e-004,1.849810e-001
1.583609228821281e-004,1.903137e-001
1.783609228820371e-004,1.946498e-001
1.983609228819461e-004,1.978803e-001
2.183609228818551e-004,1.999267e-001
2.383609228817640e-004,2.007412e-001
2.583609228816730e-004,2.003060e-001
2.783609228815820e-004,1.986336e-001
2.983609228814910e-004,1.957665e-001
3.183609228813999e-004,1.917771e-001
3.383609228813089e-004,1.867678e-001
3.583609228812179e-004,1.808707e-001
3.783609228811269e-004,1.742492e-001
3.983609228810359e-004,1.670995e-001
4.183609228809448e-004,1.596550e-001
4.383609228808538e-004,1.521958e-001
4.583609228807628e-004,1.450673e-001
4.783609228806718e-004,1.387219e-001
4.983609228805808e-004,1.338215e-001
5.183609228804897e-004,1.316290e-001
5.383609228803987e-004,1.356555e-001
5.583609228803077e-004,2.787285e-001
5.783609228802167e-004,8.696246e-001
5.983609228801257e-004,1.916612e+000
6.183609228800346e-004,3.026113e+000
6.383609228799436e-004,3.971387e+000
6.583609228798526e-004,4.748026e+000
6.783609228797616e-004,5.356105e+000
6.983609228796706e-004,5.798638e+000
7.183609228795795e-004,6.079762e+000
7.383609228794885e-004,6.202964e+000
7.583609228793975e-004,6.169715e+000
7.783609228793065e-004,5.978796e+000
7.983609228792155e-004,5.626423e+000
8.183609228791244e-004,5.107178e+000
8.383609228790334e-004,4.415560e+000
8.583609228789424e-004,3.547846e+000
8.783609228788514e-004,2.503888e+000
8.983609228787604e-004,1.345610e+000
9.183609228786693e-004,4.548833e-001
9.383609228785783e-004,1.450012e-001
9.583609228784873e-004,1.322632e-001
9.783609228783963e-004,1.326092e-001
9.983609228783053e-004,1.366990e-001
1.018360922878214e-003,1.426720e-001
1.038360922878123e-003,1.496595e-001
1.058360922878032e-003,1.571383e-001
1.078360922877941e-003,1.647117e-001
1.098360922877850e-003,1.720611e-001
1.118360922877759e-003,1.789353e-001
1.138360922877668e-003,1.851259e-001
1.158360922877577e-003,1.904596e-001
1.178360922877486e-003,1.947962e-001
1.198360922877395e-003,1.980266e-001
1.218360922877304e-003,2.000726e-001
1.238360922877213e-003,2.008861e-001
1.258360922877122e-003,2.004495e-001
1.278360922877031e-003,1.987753e-001
1.298360922876940e-003,1.959061e-001
1.318360922876849e-003,1.919142e-001
1.338360922876758e-003,1.869017e-001
1.358360922876667e-003,1.810010e-001
1.378360922876576e-003,1.743751e-001
1.398360922876485e-003,1.672200e-001
1.418360922876394e-003,1.597688e-001
1.438360922876303e-003,1.523010e-001
1.458360922876212e-003,1.451608e-001
1.478360922876121e-003,1.387989e-001
1.498360922876030e-003,1.338727e-001
1.518360922875939e-003,1.316311e-001
1.538360922875848e-003,1.355113e-001
1.558360922875757e-003,2.734565e-001
1.578360922875666e-003,8.546020e-001
1.598360922875575e-003,1.897228e+000
1.618360922875484e-003,3.007472e+000
