time,V(vout),V(n002)
0.000000000000000e+000,6.166793e-002,-6.428333e-014
1.136459180117733e-005,6.624748e-002,7.134517e-003
3.136459180108631e-005,7.447788e-002,1.957964e-002
5.136459180099529e-005,8.280110e-002,3.171599e-002
7.136459180090427e-005,9.102964e-002,4.335215e-002
9.136459180081324e-005,9.894346e-002,5.430463e-002
1.113645918007222e-004,1.063391e-001,6.440069e-002
1.313645918006312e-004,1.130339e-001,7.348111e-002
1.513645918005402e-004,1.188675e-001,8.140269e-002
1.713645918004492e-004,1.237045e-001,8.804049e-002
1.913645918003581e-004,1.274351e-001,9.328986e-002
2.113645918002671e-004,1.299766e-001,9.706798e-002
2.313645918001761e-004,1.313403e-001,9.931529e-002
2.472219796099129e-004,1.315071e-001,9.998477e-002
2.639673726683167e-004,1.307151e-001,9.961516e-002
2.839673726682257e-004,1.286330e-001,9.773116e-002
3.039673726681347e-004,1.253955e-001,9.430587e-002
3.239673726680437e-004,1.210256e-001,8.939333e-002
3.439673726679526e-004,1.156240e-001,8.307100e-002
3.639673726678616e-004,1.093169e-001,7.543860e-002
3.839673726677706e-004,1.022544e-001,6.661648e-002
4.039673726676796e-004,9.460814e-002,5.674378e-002
4.239673726675886e-004,8.656953e-002,4.597619e-002
4.439673726674975e-004,7.834597e-002,3.448354e-002
4.639673726674065e-004,7.015648e-002,2.244705e-002
4.839673726673155e-004,6.222502e-002,1.005657e-002
5.039673726672245e-004,5.477056e-002,-2.492516e-003
5.239673726671335e-004,4.799322e-002,-1.500229e-002
5.439673726670424e-004,4.205642e-002,-2.727547e-002
5.639673726669514e-004,3.706773e-002,-3.911850e-002
5.839673726668604e-004,3.306431e-002,-5.034461e-002
6.039673726667694e-004,3.000974e-002,-6.077675e-002
6.239673726666783e-004,2.780548e-002,-7.025041e-002
6.439673726665873e-004,2.631280e-002,-7.861617e-002
6.639673726664963e-004,2.537631e-002,-8.574212e-002
6.839673726664053e-004,2.484279e-002,-9.151585e-002
7.039673726663143e-004,2.457468e-002,-9.584633e-002
