time,V(vout)
0.000000000000000e+000,1.115336e+001
1.136459180117733e-005,1.114142e+001
3.136459180108631e-005,1.112064e+001
5.136459180099529e-005,1.110035e+001
7.136459180090427e-005,1.108090e+001
9.136459180081324e-005,1.106259e+001
1.113645918007222e-004,1.104572e+001
1.313645918006312e-004,1.103057e+001
1.513645918005402e-004,1.101736e+001
1.713645918004492e-004,1.100632e+001
1.913645918003581e-004,1.099762e+001
2.113645918002671e-004,1.099140e+001
2.313645918001761e-004,1.098763e+001
2.472219796099129e-004,1.098653e+001
2.639673726683167e-004,1.098740e+001
2.839673726682257e-004,1.099083e+001
3.039673726681347e-004,1.099675e+001
3.239673726680437e-004,1.100516e+001
3.439673726679526e-004,1.101593e+001
3.639673726678616e-004,1.102889e+001
3.839673726677706e-004,1.104383e+001
4.039673726676796e-004,1.106051e+001
4.239673726675886e-004,1.107866e+001
4.439673726674975e-004,1.109799e+001
4.639673726674065e-004,1.111820e+001
4.839673726673155e-004,1.113896e+001
5.039673726672245e-004,1.115993e+001
5.239673726671335e-004,1.118080e+001
5.439673726670424e-004,1.120122e+001
5.639673726669514e-004,1.122088e+001
5.839673726668604e-004,1.123948e+001
6.039673726667694e-004,1.125671e+001
6.239673726666783e-004,1.127232e+001
6.439673726665873e-004,1.128606e+001
6.639673726664963e-004,1.129773e+001
6.839673726664053e-004,1.130714e+001
7.039673726663143e-004,1.131415e+001
7.239673726662232e-004,1.131866e+001
7.439673726661322e-004,1.132063e+001
7.627568766461756e-004,1.132008e+001
7.827568766460846e-004,1.131694e+001
8.027568766459936e-004,1.131129e+001
8.227568766459026e-004,1.130318e+001
8.427568766458116e-004,1.129273e+001
8.627568766457205e-004,1.128011e+001
8.827568766456295e-004,1.126550e+001
9.027568766455385e-004,1.124912e+001
9.227568766454475e-004,1.123124e+001
9.427568766453565e-004,1.121213e+001
9.627568766452654e-004,1.119208e+001
9.827568766451744e-004,1.117142e+001
1.002756876645083e-003,1.115046e+001
1.022756876644992e-003,1.112954e+001
1.042756876644901e-003,1.110900e+001
1.062756876644810e-003,1.108915e+001
1.082756876644719e-003,1.107031e+001
1.102756876644628e-003,1.105279e+001
1.122756876644537e-003,1.103686e+001
1.142756876644446e-003,1.102279e+001
1.162756876644355e-003,1.101079e+001
1.182756876644264e-003,1.100106e+001
1.202756876644173e-003,1.099376e+001
1.222756876644082e-003,1.098901e+001
1.242756876643991e-003,1.098686e+001
1.262306294468329e-003,1.098733e+001
1.282306294468238e-003,1.099046e+001
1.302306294468147e-003,1.099616e+001
1.322306294468056e-003,1.100437e+001
1.342306294467965e-003,1.101495e+001
1.362306294467874e-003,1.102774e+001
1.382306294467783e-003,1.104252e+001
1.402306294467692e-003,1.105907e+001
1.422306294467601e-003,1.107711e+001
1.442306294467510e-003,1.109635e+001
1.462306294467419e-003,1.111650e+001
1.482306294467328e-003,1.113722e+001
1.502306294467237e-003,1.115819e+001
1.522306294467146e-003,1.117908e+001
1.542306294467055e-003,1.119955e+001
1.562306294466964e-003,1.121929e+001
1.582306294466873e-003,1.123798e+001
1.602306294466782e-003,1.125534e+001
1.622306294466691e-003,1.127109e+001
1.642306294466600e-003,1.128500e+001
1.662306294466509e-003,1.129684e+001
1.682306294466418e-003,1.130644e+001
1.702306294466327e-003,1.131366e+001
1.722306294466236e-003,1.131838e+001
1.742306294466145e-003,1.132053e+001
1.762138509682654e-003,1.132010e+001
1.782138509682563e-003,1.131707e+001
1.802138509682472e-003,1.131150e+001
1.822138509682381e-003,1.130347e+001
1.842138509682290e-003,1.129309e+001
1.862138509682199e-003,1.128053e+001
1.882138509682108e-003,1.126597e+001
1.902138509682017e-003,1.124965e+001
1.922138509681926e-003,1.123181e+001
1.942138509681834e-003,1.121273e+001
1.962138509681743e-003,1.119271e+001
1.982138509681652e-003,1.117206e+001
2.002138509681561e-003,1.115111e+001
2.022138509681470e-003,1.113019e+001
2.042138509681379e-003,1.110962e+001
2.062138509681288e-003,1.108975e+001
2.082138509681197e-003,1.107087e+001
2.102138509681106e-003,1.105331e+001
2.122138509681015e-003,1.103733e+001
2.142138509680924e-003,1.102319e+001
2.162138509680833e-003,1.101113e+001
2.182138509680742e-003,1.100133e+001
2.202138509680651e-003,1.099395e+001
2.222138509680560e-003,1.098911e+001
2.242138509680469e-003,1.098690e+001
2.262076021328330e-003,1.098733e+001
2.282076021328239e-003,1.099041e+001
2.302076021328148e-003,1.099608e+001
2.322076021328057e-003,1.100426e+001
2.342076021327966e-003,1.101482e+001
2.362076021327875e-003,1.102758e+001
2.382076021327784e-003,1.104234e+001
2.402076021327693e-003,1.105887e+001
2.422076021327602e-003,1.107689e+001
2.442076021327511e-003,1.109612e+001
2.462076021327420e-003,1.111626e+001
2.482076021327329e-003,1.113698e+001
2.502076021327238e-003,1.115795e+001
2.522076021327147e-003,1.117884e+001
2.542076021327056e-003,1.119932e+001
2.562076021326964e-003,1.121906e+001
2.582076021326873e-003,1.123777e+001
2.602076021326782e-003,1.125515e+001
2.622076021326691e-003,1.127092e+001
2.642076021326600e-003,1.128485e+001
2.662076021326509e-003,1.129672e+001
2.682076021326418e-003,1.130635e+001
2.702076021326327e-003,1.131359e+001
2.722076021326236e-003,1.131834e+001
2.742076021326145e-003,1.132052e+001
2.762052747294908e-003,1.132010e+001
2.782052747294816e-003,1.131709e+001
2.802052747294725e-003,1.131153e+001
2.822052747294634e-003,1.130350e+001
2.842052747294543e-003,1.129314e+001
2.862052747294452e-003,1.128059e+001
2.882052747294361e-003,1.126604e+001
2.902052747294270e-003,1.124973e+001
2.922052747294179e-003,1.123189e+001
2.942052747294088e-003,1.121282e+001
2.962052747293997e-003,1.119280e+001
2.982052747293906e-003,1.117215e+001
3.002052747293815e-003,1.115120e+001
3.022052747293724e-003,1.113028e+001
3.042052747293633e-003,1.110971e+001
3.062052747293542e-003,1.108983e+001
3.082052747293451e-003,1.107095e+001
3.102052747293360e-003,1.105338e+001
3.122052747293269e-003,1.103739e+001
3.142052747293178e-003,1.102325e+001
3.162052747293087e-003,1.101118e+001
3.182052747292996e-003,1.100137e+001
3.202052747292905e-003,1.099398e+001
3.222052747292814e-003,1.098913e+001
3.242052747292723e-003,1.098690e+001
3.262044078593762e-003,1.098732e+001
3.282044078593671e-003,1.099040e+001
3.302044078593580e-003,1.099607e+001
3.322044078593489e-003,1.100425e+001
3.342044078593398e-003,1.101480e+001
3.362044078593307e-003,1.102756e+001
3.382044078593216e-003,1.104232e+001
3.402044078593125e-003,1.105884e+001
3.422044078593034e-003,1.107686e+001
3.442044078592943e-003,1.109609e+001
3.462044078592852e-003,1.111623e+001
3.482044078592761e-003,1.113694e+001
3.502044078592670e-003,1.115791e+001
3.522044078592579e-003,1.117880e+001
3.542044078592488e-003,1.119928e+001
3.562044078592397e-003,1.121903e+001
3.582044078592306e-003,1.123774e+001
3.602044078592215e-003,1.125512e+001
3.622044078592124e-003,1.127090e+001
3.642044078592033e-003,1.128483e+001
3.662044078591942e-003,1.129670e+001
3.682044078591851e-003,1.130633e+001
3.702044078591760e-003,1.131358e+001
3.722044078591669e-003,1.131833e+001
3.742044078591578e-003,1.132052e+001
3.762040849801807e-003,1.132010e+001
3.782040849801716e-003,1.131709e+001
3.802040849801625e-003,1.131153e+001
3.822040849801534e-003,1.130351e+001
3.842040849801442e-003,1.129315e+001
3.862040849801351e-003,1.128059e+001
3.882040849801260e-003,1.126605e+001
3.902040849801169e-003,1.124973e+001
3.922040849801078e-003,1.123190e+001
3.942040849800987e-003,1.121283e+001
3.962040849800896e-003,1.119281e+001
3.982040849800805e-003,1.117216e+001
4.002040849800714e-003,1.115121e+001
4.022040849800623e-003,1.113029e+001
4.042040849800532e-003,1.110972e+001
4.062040849800441e-003,1.108984e+001
4.082040849800350e-003,1.107096e+001
4.102040849800259e-003,1.105339e+001
4.122040849800168e-003,1.103740e+001
4.142040849800077e-003,1.102326e+001
4.162040849799986e-003,1.101118e+001
4.182040849799895e-003,1.100137e+001
4.202040849799804e-003,1.099398e+001
4.222040849799713e-003,1.098913e+001
4.242040849799622e-003,1.098690e+001
4.262039647184412e-003,1.098732e+001
4.282039647184321e-003,1.099040e+001
4.302039647184230e-003,1.099607e+001
4.322039647184139e-003,1.100424e+001
4.342039647184048e-003,1.101480e+001
4.362039647183957e-003,1.102755e+001
4.382039647183866e-003,1.104231e+001
4.402039647183775e-003,1.105883e+001
4.422039647183684e-003,1.107685e+001
4.442039647183593e-003,1.109609e+001
4.462039647183502e-003,1.111622e+001
4.482039647183411e-003,1.113694e+001
4.502039647183320e-003,1.115791e+001
4.522039647183229e-003,1.117880e+001
4.542039647183138e-003,1.119928e+001
4.562039647183047e-003,1.121903e+001
4.582039647182956e-003,1.123774e+001
4.602039647182865e-003,1.125511e+001
4.622039647182774e-003,1.127089e+001
4.642039647182683e-003,1.128482e+001
4.662039647182592e-003,1.129670e+001
4.682039647182501e-003,1.130633e+001
4.702039647182410e-003,1.131358e+001
4.722039647182319e-003,1.131833e+001
4.742039647182228e-003,1.132052e+001
4.762039199249113e-003,1.132010e+001
4.782039199249022e-003,1.131709e+001
4.802039199248931e-003,1.131153e+001
4.822039199248840e-003,1.130351e+001
4.842039199248749e-003,1.129315e+001
