Corriente (mA);Tension (V);Error Tension (V)
1;0;0.001
2;0.575;0.003875
3;0.62;0.0041
4;0.643;0.004215
5;0.658;0.00429
6;0.669;0.004345
7;0.678;0.00439
8;0.685;0.004425
9;0.692;0.00446
10;0.697;0.004485
11;0.702;0.00451
12;0.707;0.004535
13;0.711;0.004555
14;0.714;0.00457
15;0.717;0.004585
16;0.72;0.0046
17;0.723;0.004615
18;0.725;0.004625
19;0.728;0.00464
20;0.73;0.00465
21;0.733;0.004665
22;0.734;0.00467
23;0.736;0.00468
24;0.738;0.00469
25;0.74;0.0047
26;0.741;0.004705
27;0.743;0.004715
28;0.745;0.004725
29;0.746;0.00473
30;0.748;0.00474
