Frecuencia Hz;CH1 (V);CH1 err;CH2 (V);CH2 err;T;T err;Fase;Fase err;A;A err
100;7.04;0.2112;0.912;0.02736;0.129545455;0.005496148;25;2;-17.75155642;0.368511088
200;7.08;0.2124;1.15;0.0345;0.162429379;0.006891295;39.4;2;-15.78670835;0.368511088
300;7.12;0.2136;1.46;0.0438;0.20505618;0.008699797;46.6;2;-13.76254276;0.368511088
400;7.16;0.2148;1.82;0.0546;0.254189944;0.010784366;50.9;2;-11.89683269;0.368511088
500;7.2;0.216;2.18;0.0654;0.302777778;0.012845773;53.4;2;-10.37752006;0.368511088
600;7.24;0.2172;2.54;0.0762;0.350828729;0.014884402;52.2;2;-9.098096992;0.368511088
700;7.32;0.2196;2.86;0.0858;0.390710383;0.016576438;51.4;2;-8.162900959;0.368511088
800;7.4;0.222;3.22;0.0966;0.435135135;0.01846122;51.2;2;-7.227516961;0.368511088
900;7.48;0.2244;3.54;0.1062;0.473262032;0.020078808;49.5;2;-6.497966717;0.368511088
1000;7.6;0.228;3.88;0.1164;0.510526316;0.021659797;49.2;2;-5.839637334;0.368511088
1100;7.68;0.2304;4.18;0.1254;0.544270833;0.023091456;47.4;2;-5.283698765;0.368511088
1200;7.76;0.2328;4.48;0.1344;0.577319588;0.024493596;46.6;2;-4.771674145;0.368511088
1300;7.84;0.2352;4.8;0.144;0.612244898;0.025975351;45.4;2;-4.261496506;0.368511088
1400;7.92;0.2376;5;0.15;0.631313131;0.026784348;42.6;2;-3.995103545;0.368511088
1500;8;0.24;5.28;0.1584;0.66;0.028001429;40.1;2;-3.609121289;0.368511088
1600;8.08;0.2424;5.52;0.1656;0.683168317;0.028984377;40.3;2;-3.309445661;0.368511088
1700;8.08;0.2424;5.76;0.1728;0.712871287;0.030244567;38.5;2;-2.939777547;0.368511088
1800;8.24;0.2472;6;0.18;0.72815534;0.030893015;37.6;2;-2.755519226;0.368511088
1900;8.4;0.252;6.16;0.1848;0.733333333;0.031112698;36;2;-2.693971478;0.368511088
2000;8.4;0.252;6.4;0.192;0.761904762;0.032324881;34.5;2;-2.361986242;0.368511088
2100;8.48;0.2544;6.56;0.1968;0.773584906;0.032820428;33.6;2;-2.229840258;0.368511088
2200;8.56;0.2568;6.72;0.2016;0.785046729;0.033306712;33.3;2;-2.102089832;0.368511088
2300;8.64;0.2592;6.88;0.2064;0.796296296;0.033783991;31.5;2;-1.978506085;0.368511088
2400;8.64;0.2592;7.04;0.2112;0.814814815;0.034569665;31;2;-1.778821667;0.368511088
2500;8.72;0.2616;7.24;0.2172;0.830275229;0.035225595;30;2;-1.615558375;0.368511088
2600;8.96;0.2688;7.36;0.2208;0.821428571;0.034850263;28.8;2;-1.708603906;0.368511088
2700;9.04;0.2712;7.48;0.2244;0.827433628;0.035105036;29.1;2;-1.645336652;0.368511088
2800;9.12;0.2736;7.64;0.2292;0.837719298;0.03554142;27;2;-1.538029595;0.368511088
2900;9.12;0.2736;7.76;0.2328;0.850877193;0.036099662;27;2;-1.402662341;0.368511088
3000;9.2;0.276;7.92;0.2376;0.860869565;0.036523602;26;2;-1.301252915;0.368511088
3100;9.28;0.2784;8;0.24;0.862068966;0.036574489;24.9;2;-1.289159785;0.368511088
3200;9.28;0.2784;8.08;0.2424;0.870689655;0.036940234;24;2;-1.202732309;0.368511088
3300;9.28;0.2784;8.24;0.2472;0.887931034;0.037671723;24;2;-1.03241529;0.368511088
3400;9.28;0.2784;8.32;0.2496;0.896551724;0.038037468;24;2;-0.948492999;0.368511088
3500;9.36;0.2808;8.4;0.252;0.897435897;0.038074981;23.7;2;-0.939931254;0.368511088
3600;9.4;0.282;8.4;0.252;0.893617021;0.037912959;21.3;2;-0.976971351;0.368511088
3800;9.52;0.2856;8.56;0.2568;0.899159664;0.038148114;20;2;-0.923263674;0.368511088
4000;9.52;0.2856;8.72;0.2616;0.915966387;0.038861163;21;2;-0.762409269;0.368511088
4200;9.6;0.288;8.8;0.264;0.916666667;0.038890873;19;2;-0.755771218;0.368511088
4300;9.68;0.2904;8.88;0.2664;0.917355372;0.038920092;19;2;-0.749247831;0.368511088
5000;9.76;0.2928;9.12;0.2736;0.93442623;0.039644347;16;2;-0.589099587;0.368511088
5500;9.92;0.2976;9.36;0.2808;0.943548387;0.040031368;15;2;-0.504716468;0.368511088
6000;9.92;0.2976;9.44;0.2832;0.951612903;0.040373516;13;2;-0.430793557;0.368511088
7000;10;0.3;9.68;0.2904;0.968;0.041068762;11;2;-0.282492854;0.368511088
8000;10;0.3;9.76;0.2928;0.976;0.041408173;9;2;-0.211003647;0.368511088
9000;10;0.3;9.84;0.2952;0.984;0.041747584;8;2;-0.140098031;0.368511088
10000;10;0.3;9.92;0.2976;0.992;0.042086996;7.64;2;-0.069766557;0.368511088
15000;10;0.3;10;0.3;1;0.042426407;4;2;0;0.368511088
