Frecuencia Hz;CH1 (V);CH1 err;CH2 (V);CH2 err;T;T err;Fase;Fase err;A;A err
100;10;0.3;10;0.3;1;0.042426407;-4;2;0;0.368511088
200;10.1;0.303;10;0.3;0.99009901;0.042006343;-8.36;2;-0.086427476;0.368511088
300;10;0.3;9.84;0.2952;0.984;0.041747584;-12.5;2;-0.140098031;0.368511088
400;10;0.3;9.68;0.2904;0.968;0.041068762;-17.2;2;-0.282492854;0.368511088
500;10;0.3;9.44;0.2832;0.944;0.040050528;-19.8;2;-0.500560114;0.368511088
600;10;0.3;9.28;0.2784;0.928;0.039371706;-23.3;2;-0.649040476;0.368511088
700;10;0.3;8.96;0.2688;0.896;0.038014061;-26.5;2;-0.953839807;0.368511088
800;10;0.3;8.64;0.2592;0.864;0.036656416;-30;2;-1.26972515;0.368511088
900;10;0.3;8.32;0.2496;0.832;0.035298771;-33.7;2;-1.597533474;0.368511088
1000;10;0.3;8;0.24;0.8;0.033941125;-35;2;-1.93820026;0.368511088
1100;10;0.3;7.76;0.2328;0.776;0.032922892;-38;2;-2.202765575;0.368511088
1200;10;0.3;7.44;0.2232;0.744;0.031565247;-41;2;-2.568541289;0.368511088
1300;10;0.3;7.12;0.2136;0.712;0.030207602;-43;2;-2.950400127;0.368511088
1600;9.92;0.2976;6.36;0.1908;0.641129032;0.027200801;-48.8;2;-3.86109113;0.368511088
1900;9.62;0.2886;5.58;0.1674;0.58004158;0.02460908;-53.9;2;-4.730817462;0.368511088
2200;9.92;0.2976;5.08;0.1524;0.512096774;0.021726426;-57;2;-5.812959197;0.368511088
2500;9.92;0.2976;4.64;0.1392;0.467741935;0.01984461;-59.5;2;-6.599873832;0.368511088
2800;10;0.3;4.32;0.1296;0.432;0.018328208;-60.5;2;-7.290325064;0.368511088
3100;10;0.3;3.96;0.1188;0.396;0.016800857;-62.5;2;-8.046096281;0.368511088
3400;10;0.3;3.6;0.108;0.36;0.015273506;-66.3;2;-8.873949985;0.368511088
3700;10;0.3;3.36;0.1008;0.336;0.014255273;-68.3;2;-9.473214452;0.368511088
4000;10;0.3;3.14;0.0942;0.314;0.013321892;-70.6;2;-10.06140704;0.368511088
4300;9.92;0.2976;2.96;0.0888;0.298387097;0.012659492;-70.5;2;-10.50439922;0.368511088
4600;10;0.3;2.8;0.084;0.28;0.011879394;-71.4;2;-11.05683937;0.368511088
4900;10;0.3;2.62;0.0786;0.262;0.011115719;-72;2;-11.63397417;0.368511088
6000;10.1;0.303;2.22;0.0666;0.21980198;0.009325408;-73.4;2;-13.15936799;0.368511088
7000;9.92;0.2976;1.94;0.0582;0.195564516;0.0082971;-76;2;-14.17419884;0.368511088
8000;9.92;0.2976;1.72;0.0516;0.173387097;0.007356192;76;2;-15.2196645;0.368511088
9000;9.92;0.2976;1.56;0.0468;0.157258065;0.006671895;-80.5;2;-16.06774148;0.368511088
10000;9.92;0.2976;1.42;0.0426;0.143145161;0.006073135;-77;2;-16.88446656;0.368511088
15000;9.92;0.2976;0.944;0.02832;0.09516129;0.004037352;-80;2;-20.43079356;0.368511088
20000;9.92;0.2976;0.712;0.02136;0.071774194;0.003045121;-81;2;-22.88063357;0.368511088
25000;9.92;0.2976;0.58;0.0174;0.058467742;0.002480576;-84;2;-24.66167357;0.368511088
