Frecuencia Hz;CH1 (V);CH1 err;CH2 (V);CH2 err;T;T err;Fase;Fase err;A;A err
100;10.2;0.306;0.764;0.02292;0.074901961;0.003177821;77.1;2;-22.51013626;0.368511088
200;10;0.3;1.41;0.0423;0.141;0.005982123;65;2;-17.01561775;0.368511088
300;10;0.3;1.96;0.0588;0.196;0.008315576;55.1;2;-14.15487857;0.368511088
400;10;0.3;2.34;0.0702;0.234;0.009927779;46;2;-12.61568285;0.368511088
500;10;0.3;2.62;0.0786;0.262;0.011115719;46;2;-11.63397417;0.368511088
600;10;0.3;2.82;0.0846;0.282;0.011964247;30.9;2;-10.99501783;0.368511088
700;9.92;0.2976;2.94;0.0882;0.296370968;0.012573955;24.2;2;-10.56328683;0.368511088
800;9.92;0.2976;3.04;0.0912;0.306451613;0.013001641;19.5;2;-10.27276177;0.368511088
900;9.92;0.2976;3.1;0.093;0.3125;0.013258252;15.5;2;-10.10299957;0.368511088
1000;9.92;0.2976;3.12;0.0936;0.314516129;0.013343789;12.4;2;-10.04714156;0.368511088
1300;9.92;0.2976;3.18;0.0954;0.320564516;0.013600401;3.04;2;-9.881691043;0.368511088
1600;9.92;0.2976;3.12;0.0936;0.314516129;0.013343789;-6;2;-10.04714156;0.368511088
1900;9.92;0.2976;3.04;0.0912;0.306451613;0.013001641;-12.3;2;-10.27276177;0.368511088
2200;10;0.3;2.96;0.0888;0.296;0.012558216;-17.4;2;-10.57416578;0.368511088
2500;10;0.3;2.86;0.0858;0.286;0.012133952;-23.3;2;-10.87267934;0.368511088
2800;10;0.3;2.78;0.0834;0.278;0.011794541;-25.4;2;-11.11910408;0.368511088
3100;10;0.3;2.66;0.0798;0.266;0.011285424;-28.5;2;-11.50236727;0.368511088
3400;9.92;0.2976;2.6;0.078;0.262096774;0.011119824;-30.4;2;-11.63076648;0.368511088
3700;10;0.3;2.5;0.075;0.25;0.010606602;-33.3;2;-12.04119983;0.368511088
4000;10;0.3;2.38;0.0714;0.238;0.010097485;-37.9;2;-12.46846086;0.368511088
4300;10;0.3;2.3;0.069;0.23;0.009758074;-40;2;-12.76544328;0.368511088
4600;10;0.3;2.22;0.0666;0.222;0.009418662;-42;2;-13.07294051;0.368511088
5000;9.92;0.2976;2.1;0.063;0.211693548;0.008981397;-45.7;2;-13.48584755;0.368511088
5500;9.92;0.2976;2;0.06;0.201612903;0.008553711;-46.2;2;-13.90963353;0.368511088
6000;9.92;0.2976;1.9;0.057;0.191532258;0.008126026;-49.7;2;-14.35516142;0.368511088
6500;9.92;0.2976;1.8;0.054;0.181451613;0.00769834;-32.8;2;-14.82478334;0.368511088
7000;9.92;0.2976;1.7;0.051;0.171370968;0.007270654;-51;2;-15.32125502;0.368511088
7500;9.92;0.2976;1.6;0.048;0.161290323;0.006842969;-53;2;-15.84783379;0.368511088
8000;9.92;0.2976;1.56;0.0468;0.157258065;0.006671895;-52.8;2;-16.06774148;0.368511088
9000;9.92;0.2976;1.36;0.0408;0.137096774;0.005816524;-60;2;-17.25945528;0.368511088
10000;9.92;0.2976;1.16;0.0348;0.116935484;0.004961152;-61;2;-18.64107366;0.368511088
12000;9.92;0.2976;1.07;0.0321;0.107862903;0.004576235;-63.3;2;-19.34255789;0.368511088
15000;9.92;0.2976;0.904;0.02712;0.091129032;0.003866277;-64.9;2;-20.80686483;0.368511088
20000;9.92;0.2976;0.696;0.02088;0.07016129;0.002976691;-71;2;-23.07804865;0.368511088
