time,V(vout),V(n001)
0.000000000000000e+000,3.153030e+000,-4.331083e-003
8.620616360115585e-008,3.152766e+000,2.273858e-002
1.724123272023117e-007,3.152506e+000,4.980741e-002
2.586184908034676e-007,3.152248e+000,7.687543e-002
3.448246544046234e-007,3.151993e+000,1.039426e-001
4.310308180057792e-007,3.151741e+000,1.310090e-001
5.172369816069351e-007,3.151492e+000,1.580746e-001
6.034431452080907e-007,3.151246e+000,1.851393e-001
1.216464753039936e-006,3.149578e+000,3.773731e-001
2.442507968703628e-006,3.146636e+000,7.598814e-001
4.442507968703893e-006,3.142724e+000,1.373132e+000
6.442507968704159e-006,3.139882e+000,1.964666e+000
8.442507968704424e-006,3.138174e+000,2.525149e+000
1.044250796870469e-005,3.137527e+000,3.045741e+000
1.244250796870496e-005,3.137851e+000,3.518229e+000
1.444250796870522e-005,3.139042e+000,3.935163e+000
1.644250796870549e-005,3.140980e+000,4.289966e+000
1.844250796870575e-005,3.143535e+000,4.577042e+000
2.044250796870602e-005,3.146566e+000,4.791865e+000
2.244250796870628e-005,3.149925e+000,4.931046e+000
2.444250796870655e-005,3.153460e+000,4.992391e+000
2.629271891554062e-005,3.156751e+000,4.978971e+000
2.829271891554089e-005,3.160180e+000,4.888828e+000
3.029271891554115e-005,3.163328e+000,4.721514e+000
3.229271891554142e-005,3.166045e+000,4.479669e+000
3.429271891554168e-005,3.168187e+000,4.167106e+000
3.629271891554195e-005,3.169619e+000,3.788756e+000
3.829271891554222e-005,3.170217e+000,3.350586e+000
4.029271891554248e-005,3.169872e+000,2.859506e+000
4.229271891554275e-005,3.168486e+000,2.323262e+000
4.429271891554301e-005,3.165982e+000,1.750313e+000
4.629271891554328e-005,3.162297e+000,1.149700e+000
4.829271891554354e-005,3.157658e+000,5.309105e-001
4.854271891554379e-005,3.156984e+000,4.527715e-001
4.904271891554429e-005,3.155517e+000,2.961878e-001
5.004271891554356e-005,3.152529e+000,-9.056422e-003
5.005842009368940e-005,3.152482e+000,-1.398744e-002
5.034104130031003e-005,3.151651e+000,-1.027920e-001
5.062366250693065e-005,3.150851e+000,-1.915043e-001
5.090628371355128e-005,3.150082e+000,-2.801244e-001
5.118890492017191e-005,3.149343e+000,-3.686521e-001
5.147152612679254e-005,3.148636e+000,-4.570876e-001
5.175414733341316e-005,3.147959e+000,-5.454308e-001
5.203676854003379e-005,3.147314e+000,-6.336817e-001
