time,V(vout),V(n001)
0.000000000000000e+000,2.938173e+000,-4.130139e-003
5.185223310122192e-008,2.932321e+000,1.215860e-002
1.037044662024439e-007,2.926525e+000,2.844731e-002
1.555566993036658e-007,2.920785e+000,4.473600e-002
2.074089324048877e-007,2.915101e+000,6.102466e-002
2.592611655061097e-007,2.909473e+000,7.731330e-002
3.111133986073316e-007,2.903902e+000,9.360191e-002
3.629656317085533e-007,2.898386e+000,1.098905e-001
7.376398321809474e-007,2.860172e+000,2.275418e-001
1.486988233127470e-006,2.792152e+000,4.624040e-001
2.985685035020516e-006,2.682550e+000,9.285064e-001
4.985685035020782e-006,2.581074e+000,1.536906e+000
6.985685035021047e-006,2.528924e+000,2.120960e+000
8.985685035021312e-006,2.523653e+000,2.671462e+000
1.098568503502158e-005,2.558749e+000,3.179735e+000
1.298568503502184e-005,2.627559e+000,3.637768e+000
1.498568503502211e-005,2.723352e+000,4.038342e+000
1.698568503502237e-005,2.839393e+000,4.375146e+000
1.898568503502264e-005,2.969017e+000,4.642872e+000
2.098568503502291e-005,3.105704e+000,4.837303e+000
2.298568503502317e-005,3.243615e+000,4.955375e+000
2.449467939157242e-005,3.344539e+000,4.992745e+000
2.631212835202228e-005,3.457881e+000,4.978168e+000
2.831212835202254e-005,3.568830e+000,4.887158e+000
3.031212835202281e-005,3.660808e+000,4.719016e+000
3.231212835202307e-005,3.729198e+000,4.476398e+000
3.431212835202334e-005,3.770245e+000,4.163132e+000
3.631212835202360e-005,3.780824e+000,3.784161e+000
3.831212835202387e-005,3.758472e+000,3.345465e+000
4.031212835202414e-005,3.701416e+000,2.853965e+000
4.231212835202440e-005,3.608588e+000,2.317415e+000
4.431212835202467e-005,3.479626e+000,1.744280e+000
4.631212835202493e-005,3.314878e+000,1.143604e+000
4.831212835202520e-005,3.122501e+000,5.248795e-001
4.856212835202545e-005,3.095864e+000,4.467575e-001
4.906212835202595e-005,3.039623e+000,2.902117e-001
5.006212835202521e-005,2.926521e+000,-1.538578e-002
5.007688312121117e-005,2.924865e+000,-2.002102e-002
5.034246896654426e-005,2.896067e+000,-1.034936e-001
5.060805481187736e-005,2.868671e+000,-1.868872e-001
5.087364065721045e-005,2.842677e+000,-2.702018e-001
5.113922650254355e-005,2.818085e+000,-3.534374e-001
5.140481234787665e-005,2.794894e+000,-4.365941e-001
5.167039819320975e-005,2.773106e+000,-5.196717e-001
