time,V(vout),V(n001)
0.000000000000000e+000,1.083413e-001,-1.303828e-003
6.127163563653809e-007,2.993697e-001,1.908955e-001
1.838149069096143e-006,6.789767e-001,5.742172e-001
3.838149069096408e-006,1.288458e+000,1.191519e+000
5.838149069096674e-006,1.878770e+000,1.790023e+000
7.838149069096939e-006,2.439764e+000,2.360281e+000
9.838149069097205e-006,2.962554e+000,2.893298e+000
1.183814906909747e-005,3.438859e+000,3.380666e+000
1.383814906909774e-005,3.861127e+000,3.814700e+000
1.583814906909800e-005,4.222657e+000,4.188552e+000
1.783814906909827e-005,4.517706e+000,4.496328e+000
1.983814906909853e-005,4.741580e+000,4.733173e+000
2.183814906909880e-005,4.890704e+000,4.895352e+000
2.383814906909906e-005,4.962685e+000,4.980307e+000
2.583814906909933e-005,4.956347e+000,4.986699e+000
2.783814906909959e-005,4.871746e+000,4.914426e+000
2.983814906909986e-005,4.710175e+000,4.764629e+000
3.183814906910013e-005,4.474140e+000,4.539670e+000
3.383814906910039e-005,4.167324e+000,4.243098e+000
3.583814906910066e-005,3.794523e+000,3.879588e+000
3.783814906910092e-005,3.361577e+000,3.454876e+000
3.983814906910119e-005,2.875274e+000,2.975658e+000
4.183814906910145e-005,2.343248e+000,2.449493e+000
4.383814906910172e-005,1.773855e+000,1.884682e+000
4.583814906910198e-005,1.176050e+000,1.290134e+000
4.808814906910250e-005,4.832666e-001,5.974262e-001
4.858814906910300e-005,3.263390e-001,4.413855e-001
4.958814906910226e-005,2.167694e-001,1.282788e-001
5.158814906910253e-005,6.128042e-001,-4.962076e-001
5.183814906910278e-005,6.890967e-001,-5.742084e-001
5.333814906910254e-005,1.147794e+000,-1.038570e+000
5.533814906910281e-005,1.741967e+000,-1.642674e+000
5.733814906910308e-005,2.311126e+000,-2.220856e+000
5.933814906910334e-005,2.844253e+000,-2.763998e+000
6.133814906910361e-005,3.332901e+000,-3.263529e+000
6.333814906910387e-005,3.769325e+000,-3.711573e+000
6.533814906910414e-005,4.146600e+000,-4.101062e+000
6.733814906910440e-005,4.458735e+000,-4.425855e+000
6.933814906910467e-005,4.700765e+000,-4.680827e+000
7.133814906910493e-005,4.868831e+000,-4.861959e+000
7.333814906910520e-005,4.964840e+000,-4.966394e+000
7.486994093462880e-005,4.985193e+000,-4.993443e+000
7.645165854597638e-005,4.950986e+000,-4.972857e+000
7.845165854597665e-005,4.838457e+000,-4.876625e+000
8.045165854597691e-005,4.653706e+000,-4.703465e+000
8.245165854597718e-005,4.395497e+000,-4.456107e+000
8.445165854597744e-005,4.067863e+000,-4.138453e+000
8.645165854597771e-005,3.675929e+000,-3.755513e+000
8.845165854597797e-005,3.225836e+000,-3.313326e+000
9.045165854597824e-005,2.724644e+000,-2.818867e+000
9.245165854597851e-005,2.180220e+000,-2.279934e+000
9.445165854597877e-005,1.601118e+000,-1.705028e+000
9.645165854597904e-005,9.964544e-001,-1.103222e+000
9.845165854597930e-005,3.770492e-001,-4.840215e-001
9.870165854597955e-005,2.987705e-001,-4.058869e-001
9.920165854598005e-005,1.415386e-001,-2.493505e-001
9.932665854598018e-005,1.022166e-001,-2.101784e-001
9.957665854598043e-005,6.768397e-002,-1.318410e-001
1.000766585459809e-004,1.358453e-001,2.274670e-002
1.002016585459811e-004,1.700072e-001,6.196252e-002
1.004516585459813e-004,2.480457e-001,1.403870e-001
1.009516585459818e-004,4.038137e-001,2.971268e-001
1.019516585459811e-004,7.130820e-001,6.095885e-001
1.039516585459813e-004,1.321336e+000,1.226082e+000
1.059516585459816e-004,1.910233e+000,1.823232e+000
1.079516585459819e-004,2.469294e+000,2.391612e+000
1.099516585459821e-004,2.989664e+000,2.922258e+000
1.119516585459824e-004,3.463099e+000,3.406797e+000
1.139516585459827e-004,3.882093e+000,3.837590e+000
1.159516585459829e-004,4.239997e+000,4.207840e+000
1.179516585459832e-004,4.531125e+000,4.511711e+000
1.199516585459835e-004,4.750842e+000,4.744407e+000
1.219516585459837e-004,4.895643e+000,4.902260e+000
1.239516585459840e-004,4.963202e+000,4.982781e+000
1.259516585459843e-004,4.952411e+000,4.984699e+000
1.279516585459845e-004,4.863398e+000,4.907984e+000
1.299516585459848e-004,4.697525e+000,4.753847e+000
1.319516585459851e-004,4.457367e+000,4.524718e+000
1.339516585459853e-004,4.146669e+000,4.224211e+000
1.359516585459856e-004,3.770291e+000,3.857064e+000
1.379516585459858e-004,3.334129e+000,3.429070e+000
1.399516585459861e-004,2.845023e+000,2.946978e+000
1.419516585459864e-004,2.310648e+000,2.418392e+000
1.439516585459866e-004,1.739400e+000,1.851649e+000
1.459516585459869e-004,1.140265e+000,1.255691e+000
1.482016585459874e-004,4.465019e-001,5.620490e-001
1.488266585459881e-004,2.502970e-001,3.667933e-001
1.490766585459883e-004,1.716730e-001,2.885227e-001
1.495766585459888e-004,1.138985e-001,1.318756e-001
1.505766585459881e-004,2.995935e-001,-1.795788e-001
1.508076119482848e-004,3.688246e-001,-2.519823e-001
1.512695187528799e-004,5.124853e-001,-3.966196e-001
1.521933323620703e-004,7.976198e-001,-6.847789e-001
1.540409595804492e-004,1.358178e+000,-1.253219e+000
1.560409595804495e-004,1.945575e+000,-1.849283e+000
1.580409595804497e-004,2.503073e+000,-2.416166e+000
1.600409595804500e-004,3.021499e+000,-2.944926e+000
1.620409595804503e-004,3.492638e+000,-3.427223e+000
1.640409595804505e-004,3.909020e+000,-3.855450e+000
1.660409595804508e-004,4.264036e+000,-4.222854e+000
1.680409595804511e-004,4.552047e+000,-4.523640e+000
1.700409595804513e-004,4.768466e+000,-4.753065e+000
1.720409595804516e-004,4.909840e+000,-4.907509e+000
