Resistencia total,Resistencia total error,Tau,Error
1.2236,0.007138992,1.28677236,0.004390648
1.7196,0.009588264,1.76476351,0.003164483
2.2196,0.012069996,2.37467225,0.019591002
2.7196,0.014557981,2.8354121,0.011201948
3.2216,0.017059452,3.40478837,0.024682794
3.6996,0.037422517,3.94302566,0.03129603
4.1996,0.039921107,4.46247581,0.026263141
4.6996,0.042419863,4.98670104,0.032633038
5.1996,0.044918758,5.57372827,0.044549915
5.6996,0.047417769,6.05339698,0.041275151
6.1996,0.049916879,6.56513768,0.038598811
6.6996,0.052416074,7.09676661,0.037571186
7.1996,0.054915342,7.57691149,0.046315418
7.6996,0.057414674,8.25640585,0.059335279
8.1996,0.059914062,8.68513377,0.047787415
8.6996,0.062413499,9.3130203,0.068411291
9.1996,0.064912979,9.83462032,0.051683929
9.6996,0.067412497,10.5058259,0.077537885
10.1996,0.06991205,10.8659042,0.063607625
