Freq (kHz);V1 (V);Escala ch 1 (V);Error V1 (V);V2 (V);Escala ch 2 (V);Error V2 (V);Fase;Error Fase;T;T Error
0.53;4.16;2;0.067843137;0.34;0.2;0.013843137;-86;2;0.168;0.003578897
1.03;4.16;2;0.067843137;0.64;0.5;0.022843137;-82;2;0.32;0.006037188
1.53;4.08;2;0.067843137;0.92;0.5;0.022843137;-78;2;0.46;0.006738353
2.03;4.08;2;0.067843137;1.24;1;0.037843137;-73;2;0.62;0.01056269
2.53;4.00;2;0.067843137;1.56;1;0.037843137;-62;2;0.78;0.011543863
3.03;3.88;1;0.037843137;1.92;1;0.037843137;-54;2;1.92;0.010882226
3.43;3.80;1;0.037843137;2.24;1;0.037843137;-46;2;2.24;0.011560179
3.53;3.76;1;0.037843137;2.30;1;0.037843137;-44;2;2.3;0.011798343
3.63;3.72;1;0.037843137;2.36;1;0.037843137;-39;2;2.36;0.012047353
3.84;3.70;1;0.037843137;2.52;1;0.037843137;-38;2;2.52;0.012374763
4.03;3.68;1;0.037843137;2.64;1;0.037843137;-32;2;2.64;0.012655972
4.04;3.64;1;0.037843137;2.64;1;0.037843137;-34;2;2.64;0.012842996
4.24;3.56;1;0.037843137;2.76;1;0.037843137;-25;2;2.76;0.01345058
4.44;3.56;1;0.037843137;2.88;1;0.037843137;-18;2;2.88;0.013673058
4.53;3.52;1;0.037843137;2.92;1;0.037843137;-17;2;2.92;0.013968489
4.64;3.52;1;0.037843137;2.96;1;0.037843137;-14;2;2.96;0.014046804
4.84;3.48;1;0.037843137;3.00;1;0.037843137;-6;2;3;0.014357436
5.03;3.48;1;0.037843137;3.04;1;0.037843137;-1;2;3.04;0.014439359
5.24;3.52;1;0.037843137;3.00;1;0.037843137;6;2;3;0.014125742
5.44;3.52;1;0.037843137;2.96;1;0.037843137;13;2;2.96;0.014046804
5.54;3.52;1;0.037843137;2.96;1;0.037843137;16;2;2.96;0.014046804
5.63;3.52;1;0.037843137;2.96;1;0.037843137;19;2;2.96;0.014046804
5.84;3.56;1;0.037843137;2.88;1;0.037843137;21;2;2.88;0.013673058
6.02;3.60;1;0.037843137;2.84;1;0.037843137;25;2;2.84;0.013389252
6.03;3.60;1;0.037843137;2.84;1;0.037843137;25;2;2.84;0.013389252
6.23;3.64;1;0.037843137;2.76;1;0.037843137;29;2;2.76;0.013047174
6.44;3.64;1;0.037843137;2.68;1;0.037843137;32;2;2.68;0.012910403
6.54;3.68;1;0.037843137;2.64;1;0.037843137;36;2;2.64;0.012655972
6.63;3.68;1;0.037843137;2.60;1;0.037843137;35;2;2.6;0.012591144
7.02;3.76;1;0.037843137;2.44;1;0.037843137;41;2;2.44;0.011998153
7.52;3.80;1;0.037843137;2.28;1;0.037843137;48;2;2.28;0.011613764
8.03;3.84;1;0.037843137;2.08;1;0.037843137;52;2;2.08;0.011207863
8.54;3.88;1;0.037843137;1.96;1;0.037843137;57;2;1.96;0.010927193
9.02;3.92;1;0.037843137;1.84;1;0.037843137;59;2;1.84;0.010664458
9.52;4.00;2;0.067843137;1.76;1;0.037843137;60;2;0.88;0.012049855
10.02;4.08;2;0.067843137;1.60;1;0.037843137;61;2;0.8;0.011338102
10.51;4.04;2;0.067843137;1.56;1;0.037843137;62;2;0.78;0.011392535
11.03;4.08;2;0.067843137;1.48;1;0.037843137;66;2;0.74;0.011064062
11.54;4.08;2;0.067843137;1.40;1;0.037843137;68;2;0.7;0.010889743
11.99;4.08;2;0.067843137;1.32;1;0.037843137;68;2;0.66;0.010722507
