Freq (kHz);V1 (V);Escala ch 1 (V);Error V1 (V);V2 (V);Escala ch 2 (V);Error V2 (V);Fase;Error Fase;T;T Error;;;
5.03;0.98;0.5;0.022843137;0.624;0.5;0.022843137;-1;2;0.636734694;0.027633408;;;
4.94;1.00;0.5;0.022843137;0.616;0.5;0.022843137;-8.5;2;0.616;0.026829321;;;
4.83;1.02;0.5;0.022843137;0.608;0.5;0.022843137;-15;2;0.596078431;0.026072028;;;
4.73;1.06;0.5;0.022843137;0.592;0.5;0.022843137;-26;2;0.558490566;0.024683241;;;
4.62;1.10;0.5;0.022843137;0.576;0.5;0.022843137;-32;2;0.523636364;0.023441264;;;
4.53;1.12;0.5;0.022843137;0.552;0.5;0.022843137;-38;2;0.492857143;0.022738261;;;
4.44;1.18;0.5;0.022843137;0.528;0.5;0.022843137;-43.8;2;0.447457627;0.021208203;;;
4.33;1.22;0.5;0.022843137;0.512;0.5;0.022843137;-49;2;0.419672131;0.020305917;;;
4.23;1.26;0.5;0.022843137;0.48;0.5;0.022843137;-53;2;0.380952381;0.019400441;;;
4.14;1.30;0.5;0.022843137;0.456;0.5;0.022843137;-56;2;0.350769231;0.018621293;;;
4.04;1.32;0.5;0.022843137;0.432;0.5;0.022843137;-61;2;0.327272727;0.018208606;;;
3.93;1.34;0.5;0.022843137;0.416;0.5;0.022843137;-64;2;0.310447761;0.017849706;;;
3.83;1.38;0.5;0.022843137;0.392;0.5;0.022843137;-64;2;0.284057971;0.017207866;;;
3.72;1.40;0.5;0.022843137;0.368;0.5;0.022843137;-67;2;0.262857143;0.016870798;;;
3.63;1.42;0.5;0.022843137;0.344;0.5;0.022843137;-71;2;0.242253521;0.016552026;;;
3.52;1.42;0.5;0.022843137;0.328;0.5;0.022843137;-72;2;0.230985915;0.016510289;;;
3.43;1.46;0.5;0.022843137;0.312;0.5;0.022843137;-72;2;0.21369863;0.01599925;;;
3.34;1.46;0.5;0.022843137;0.296;0.5;0.022843137;-73;2;0.202739726;0.015964298;;;
3.23;1.48;0.5;0.022843137;0.28;0.5;0.022843137;-76;2;0.189189189;0.015708345;;;
3.13;1.48;0.5;0.022843137;0.264;0.5;0.022843137;-78;2;0.178378378;0.015678184;;;
3.04;1.50;0.5;0.022843137;0.248;0.5;0.022843137;-80;2;0.165333333;0.015435495;;;
2.54;1.52;0.5;0.022843137;0.192;0.5;0.022843137;-85;2;0.126315789;0.015147799;;;
2.03;1.54;0.5;0.022843137;0.144;0.5;0.022843137;Err;2;0.093506494;0.014897912;;;
5.14;1.02;0.5;0.022843137;0.616;0.5;0.022843137;14;2;0.603921569;0.026162398;;;
5.23;1.02;0.5;0.022843137;0.616;0.5;0.022843137;22;2;0.603921569;0.026162398;;;
5.33;1.06;0.5;0.022843137;0.592;0.5;0.022843137;29;2;0.558490566;0.024683241;;;
5.45;1.10;0.5;0.022843137;0.576;0.5;0.022843137;36;2;0.523636364;0.023441264;;;
5.51;1.16;0.5;0.022843137;0.552;0.5;0.022843137;40;2;0.475862069;0.021808297;;;
5.63;1.18;0.5;0.022843137;0.528;0.5;0.022843137;43;2;0.447457627;0.021208203;;;
5.75;1.22;0.5;0.022843137;0.504;0.5;0.022843137;48;2;0.413114754;0.020258721;;;
5.83;1.26;0.5;0.022843137;0.488;0.5;0.022843137;53;2;0.387301587;0.019441716;;;
5.94;1.28;0.5;0.022843137;0.472;0.5;0.022843137;56;2;0.36875;0.019020874;;;
6.03;1.30;0.5;0.022843137;0.448;0.5;0.022843137;59;2;0.344615385;0.018585781;;;
6.13;1.34;0.5;0.022843137;0.44;0.5;0.022843137;60;2;0.328358209;0.0179426;;;
6.23;1.36;0.5;0.022843137;0.424;0.5;0.022843137;61;2;0.311764706;0.017593781;;;
6.35;1.38;0.5;0.022843137;0.408;0.5;0.022843137;63;2;0.295652174;0.017261295;;;
6.44;1.40;0.5;0.022843137;0.392;0.5;0.022843137;65;2;0.28;0.016944067;;;
6.54;1.40;0.5;0.022843137;0.384;0.5;0.022843137;64;2;0.274285714;0.016919165;;;
6.63;1.40;0.5;0.022843137;0.368;0.5;0.022843137;65;2;0.262857143;0.016870798;;;
6.73;1.42;0.5;0.022843137;0.36;0.5;0.022843137;65;2;0.253521127;0.016595637;;;
6.83;1.44;0.5;0.022843137;0.352;0.5;0.022843137;68;2;0.244444444;0.016330354;;;
6.94;1.44;0.5;0.022843137;0.344;0.5;0.022843137;66;2;0.238888889;0.016309652;;;
7.03;1.44;0.5;0.022843137;0.328;0.5;0.022843137;68;2;0.227777778;0.016269602;;;
7.55;1.48;0.5;0.022843137;0.288;0.5;0.022843137;70;2;0.194594595;0.015724067;;;
8.03;1.50;0.5;0.022843137;0.264;0.5;0.022843137;73;2;0.176;0.015462822;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;0;
