Distancia;V;sd dev
0.328;1.38111;0.006397
0.33;1.428226;0.0065
0.332;1.459851;0.00662
0.334;1.490831;0.006568
0.336;1.542464;0.006882
0.338;1.578607;0.006272
0.34;1.612814;0.00667
0.342;1.64573;0.00676
0.344;1.66832;0.006837
0.346;1.6922;0.006565
0.348;1.714144;0.0078
0.351;1.745124;0.006663
0.354;1.777395;0.006616
0.357;1.80902;0.006849
0.36;1.829028;0.006564
0.363;1.858072;0.006657
0.366;1.876789;0.006691
0.369;1.898733;0.007007
0.372;1.925195;0.006901
0.375;1.94133;0.006534
0.378;1.953593;0.006926
0.381;1.970374;0.006501
0.384;1.976828;0.006607
0.387;1.991672;0.007067
0.39;2.000708;0.006476
0.395;2.025234;0.007137
0.4;2.036851;0.006424
0.405;2.054278;0.006663
0.41;2.070413;0.006572
0.415;2.081385;0.006787
0.42;2.091712;0.006586
0.43;2.113656;0.006561
0.44;2.129791;0.006572
0.45;2.140118;0.007148
0.46;2.155608;0.007198
0.48;2.167225;0.006911
0.5;2.183361;0.006489
0.52;2.193687;0.006364
0.54;2.199496;0.006671
0.56;2.200787;0.006971
0.58;2.203368;0.006623
0.6;2.201432;0.00668
0.62;2.196269;0.007126
0.64;2.193042;0.006286
0.66;2.192396;0.007107
0.68;2.191106;0.006436
0.7;2.189815;0.006723
0.72;2.193687;0.006919
0.74;2.194978;0.006687
0.76;2.19885;0.00676
0.78;2.204014;0.0067
0.8;2.21434;0.006775
