V;Degree;Degree err
2.20595;-170;3
2.204014;-160;3
2.208532;-150;3
2.214986;-140;3
2.212404;-130;3
2.189169;-120;3
2.177552;-110;3
2.160771;-100;3
2.143345;-90;3
2.133664;-80;3
2.118819;-70;3
2.100747;-60;3
2.090421;-50;3
2.08074;-40;3
2.067831;-30;3
2.058796;-20;3
2.048469;-10;3
2.045887;0;3
2.044596;10;3
2.047823;20;3
2.048469;30;3
2.057505;40;3
2.072995;50;3
2.079449;60;3
2.085258;70;3
2.09623;80;3
2.10462;90;3
2.116883;100;3
2.131727;110;3
2.140763;120;3
2.153026;130;3
2.167871;140;3
2.176261;150;3
2.183361;160;3
2.194333;170;3
2.196914;180;3
