Vi pp [mV];Veq pp [mV];Veq pp err [mV];Ip;Ip err;Is
380;352;10.56;3.832190399;0.118469344;0.294142224
404;372;11.16;4.074223477;0.125951618;0.310854851
424;400;12;4.275917709;0.132186847;0.334252528
444;418;12.54;4.47761194;0.138422076;0.349293892
460;432;12.96;4.638967326;0.143410258;0.36099273
484;452;13.56;4.881000403;0.150892533;0.377705356
508;472;14.16;5.123033481;0.158374807;0.394417983
524;492;14.76;5.284388866;0.16336299;0.411130609
548;508;15.24;5.526421944;0.170845264;0.42450071
576;532;15.96;5.808793868;0.179574585;0.444555862
596;556;16.68;6.0104881;0.185809813;0.464611014
