 Vrc 1; Vrc 1 err;Vce 1;Vce 1 err;Ic 1;Ic 1 err; Vrc 2; Vrc 2 err;Vce 2;Vce 2 err;Ic 2;Ic 2 err; Vrc 3; Vrc 3 err;Vce 3;Vce 3 err;Ic 3;Ic 3 err
2.3;0.0315;0.678;0.00439;0.001949153;3.13922E-05;2.6;0.033;0.37;0.00285;0.00220339;3.3627E-05;3.84;0.0392;0.183;0.001915;0.003254237;4.31758E-05
2.27;0.03135;0.607;0.004035;0.001923729;3.1171E-05;2.57;0.03285;0.3;0.0025;0.002177966;3.34018E-05;3.65;0.03825;0.177;0.001885;0.00309322;4.16882E-05
2.25;0.03125;0.511;0.003555;0.00190678;3.10237E-05;2.5;0.0325;0.261;0.002305;0.002118644;3.28778E-05;3.39;0.03695;0.169;0.001845;0.002872881;3.96647E-05
2.23;0.03115;0.437;0.003185;0.001889831;3.08766E-05;2.42;0.0321;0.249;0.002245;0.002050847;3.22814E-05;3.1;0.0355;0.163;0.001815;0.002627119;3.74268E-05
2.21;0.03105;2.21;0.01205;0.001872881;3.07298E-05;2.33;0.03165;0.235;0.002175;0.001974576;3.16139E-05;2.81;0.03405;0.154;0.00177;0.002381356;3.52127E-05
2.19;0.03095;0.287;0.002435;0.001855932;3.05831E-05;2.24;0.0312;0.222;0.00211;0.001898305;3.09501E-05;2.71;0.03355;0.15;0.00175;0.00229661;3.44556E-05
2.11;0.03055;0.25;0.00225;0.001788136;2.99986E-05;2.15;0.03075;0.213;0.002065;0.001822034;3.02905E-05;2.62;0.0331;0.148;0.00174;0.002220339;3.37773E-05
2.03;0.03015;0.234;0.00217;0.001720339;2.94176E-05;2.06;0.0303;0.205;0.002025;0.001745763;2.96351E-05;2.52;0.0326;0.146;0.00173;0.002135593;3.30273E-05
1.95;0.02975;0.22;0.0021;0.001652542;2.88404E-05;1.977;0.011885;0.198;0.00199;0.001675424;1.74081E-05;2.42;0.0321;0.144;0.00172;0.002050847;3.22814E-05
1.86;0.0293;0.206;0.00203;0.001576271;2.81957E-05;1.884;0.01142;0.192;0.00196;0.00159661;1.66355E-05;2.32;0.0316;0.142;0.00171;0.001966102;3.154E-05
1.78;0.0289;0.199;0.001995;0.001508475;2.76271E-05;1.799;0.010995;0.186;0.00193;0.001524576;1.59296E-05;2.23;0.03115;0.138;0.00169;0.001889831;3.08766E-05
1.68;0.0284;0.191;0.001955;0.001423729;2.69228E-05;1.705;0.010525;0.18;0.0019;0.001444915;1.51492E-05;2.13;0.03065;0.136;0.00168;0.001805085;3.01444E-05
1.59;0.02795;0.186;0.00193;0.001347458;2.62953E-05;1.61;0.01005;0.175;0.001875;0.001364407;1.43609E-05;2.03;0.03015;0.136;0.00168;0.001720339;2.94176E-05
1.5;0.0275;0.177;0.001885;0.001271186;2.56745E-05;1.518;0.00959;0.167;0.001835;0.001286441;1.3598E-05;1.93;0.02965;0.133;0.001665;0.001635593;2.86967E-05
1.41;0.02705;0.173;0.001865;0.001194915;2.50608E-05;1.425;0.009125;0.163;0.001815;0.001207627;1.28272E-05;1.84;0.0292;0.132;0.00166;0.001559322;2.80531E-05
1.31;0.02655;0.166;0.00183;0.001110169;2.43878E-05;1.331;0.008655;0.1583;0.0008915;0.001127966;1.20488E-05;1.74;0.0287;0.13;0.00165;0.001474576;2.73445E-05
1.22;0.0261;0.161;0.001805;0.001033898;2.37908E-05;1.237;0.008185;0.1532;0.000866;0.001048305;1.12711E-05;1.65;0.02825;0.128;0.00164;0.001398305;2.67129E-05
1.13;0.02565;0.154;0.00177;0.000957627;2.32028E-05;1.142;0.00771;0.1489;0.0008445;0.000967797;1.04861E-05;1.55;0.02775;0.125;0.001625;0.001313559;2.60186E-05
1.04;0.0252;0.148;0.00174;0.000881356;2.26244E-05;1.049;0.007245;0.1428;0.000814;0.000888983;9.7188E-06;1.46;0.0273;0.122;0.00161;0.001237288;2.54008E-05
